 faa.[ 13c] x8C230004 ldi	g1=524252 g3=10 4
 fab.[ 13d] x46C00006 fmov	f0=4B0000F0 f22=437A0000
 fac.[ 13e] x40210004 subi	g1=524252 g1=524252 4
 fad.[ 13f] xC000009A call	9a

 fae.[  9a] x08000079 jmp	79
 faf.[  79] x20030000 addi	g0=0 g3=48 0
 fb0.[  7a] xC4610000 fldi	f1=43700000 g3=0 0
 fb1.[  7b] xE8200006 fjlt	f1=00000000 f0=437A0000 6
 fb2.[  81] xC000002A call	2a
 fb3.[  2a] x44000806 fmov	f1=00000000 f0=437A0000
 fb4.[  2b] x20030000 addi	g0=0 g3=0 0
 fb5.[  2c] xC4640000 fldi	f4=00000000 g3=0 0
 fb6.[  2d] xE8800015 fjlt	f4=00000000 f0=437A0000 15
 fb7.[  42] x20030010 addi	g0=0 g3=0 16
 fb8.[  43] xC4620000 fldi	f2=4B000000 g3=16 0
 fb9.[  44] xE8020003 fjlt	f0=437A0000 f2=4B000000 3
 fba.[  47] x44000806 fmov	f1=437A0000 f0=437A0000
 fbb.[  48] x44020000 fadd	f0=250.0000000000 f0=250.0000000000 f2=8388608.0000000000
 fbc.[  49] xE4200000 fsti	f0=4B0000FA g1=524240 0
 fbd.[  4a] x8C240000 ldi	g1=524240 g4=0 0
 fbe.[  4b] x44020001 fsub	f0=8388858.0000000000 f0=8388858.0000000000 f2=8388608.0000000000
 fbf.[  4c] xE4200000 fsti	f0=437A0000 g1=524240 0
 fc0.[  4d] x8C240000 ldi	g1=524240 g4=1258291450 0
 fc1.[  4e] xE8010005 fjlt	f0=437A0000 f1=437A0000 5
 fc2.[  4f] xC8010004 fjeq	f0=437A0000 f1=437A0000 4
 fc3.[  53] xE0000000 return
 fc4.[  82] x20040010 addi	g0=0 g4=1132068864 16
 fc5.[  83] xC4820000 fldi	f2=4B000000 g4=16 0
 fc6.[  84] x20040014 addi	g0=0 g4=16 20
 fc7.[  85] x8C840000 ldi	g4=20 g4=20 0
 fc8.[  86] xE8400007 fjlt	f2=4B000000 f0=437A0000 7
 fc9.[  87] xC8400006 fjeq	f2=4B000000 f0=437A0000 6
 fca.[  88] x44020000 fadd	f0=250.0000000000 f0=250.0000000000 f2=8388608.0000000000
 fcb.[  89] xE4200000 fsti	f0=4B0000FA g1=524244 0
 fcc.[  8a] x8C230000 ldi	g1=524244 g3=16 0
 fcd.[  8b] x00641822 sub	g3=1258291450 g3=1258291450 g4=1258291200
 fce.[  8c] xE0000000 return
 fcf.[ 140] x20680000 addi	g3=250 g8=40 0
 fd0.[ 141] xC0000193 call	193
 fd1.[ 193] x690000C4 jlt	g8=250 g0=0 c4
 fd2.[ 194] x3CE005F5 mvhi	g7=10 1525
 fd3.[ 195] x1CE0E100 mvlo	g7=99942410 -7936
 fd4.[ 196] x20050000 addi	g0=0 g5=1 0
 fd5.[ 197] x20060003 addi	g0=0 g6=5 3
 fd6.[ 198] xAC280000 sti	g1=524244 g8=250 0
 fd7.[ 199] x40210008 subi	g1=524244 g1=524244 8
 fd8.[ 19a] xC0000184 call	184
 fd9.[ 184] x00A61820 add	g3=250 g5=0 g6=3
 fda.[ 185] xA8640001 srli	g3=3 g4=1258291200 1
 fdb.[ 186] x00874818 mul	g9=40 g4=1 g7=100000000
 fdc.[ 187] x00C51822 sub	g3=3 g6=3 g5=0
 fdd.[ 188] x6B830003 jlt	g28=1 g3=3 3
 fde.[ 18b] x69280006 jlt	g9=100000000 g8=250 6
 fdf.[ 18c] x49280003 jne	g9=100000000 g8=250 3
 fe0.[ 18f] x20860000 addi	g4=1 g6=3 0
 fe1.[ 190] x08000184 jmp	184
 fe2.[ 184] x00A61820 add	g3=3 g5=0 g6=1
 fe3.[ 185] xA8640001 srli	g3=1 g4=1 1
 fe4.[ 186] x00874818 mul	g9=100000000 g4=0 g7=100000000
